Gas consumption package calculation
Gas type - "methane"
Gas press ~ 15 MPa
Gas temp - 0 cel

Cycle #0 | Gas pressure drop = 0.0506627 MPa
0.62 | Mass consumption = 6720 kg/sec | Volume consumption = 62 m3/sec
0.63 | Mass consumption = 6831 kg/sec | Volume consumption = 63 m3/sec
0.64 | Mass consumption = 6941 kg/sec | Volume consumption = 64 m3/sec
0.65 | Mass consumption = 7051 kg/sec | Volume consumption = 65 m3/sec
0.66 | Mass consumption = 7161 kg/sec | Volume consumption = 66 m3/sec
0.67 | Mass consumption = 7271 kg/sec | Volume consumption = 67 m3/sec
0.68 | Mass consumption = 7381 kg/sec | Volume consumption = 68 m3/sec
0.69 | Mass consumption = 7492 kg/sec | Volume consumption = 69 m3/sec
0.7 | Mass consumption = 7602 kg/sec | Volume consumption = 70 m3/sec
0.71 | Mass consumption = 7712 kg/sec | Volume consumption = 71 m3/sec
0.72 | Mass consumption = 7822 kg/sec | Volume consumption = 72 m3/sec
0.73 | Mass consumption = 7932 kg/sec | Volume consumption = 73 m3/sec
0.74 | Mass consumption = 8042 kg/sec | Volume consumption = 74 m3/sec
0.75 | Mass consumption = 8153 kg/sec | Volume consumption = 75 m3/sec
0.76 | Mass consumption = 8263 kg/sec | Volume consumption = 76 m3/sec
0.77 | Mass consumption = 8373 kg/sec | Volume consumption = 78 m3/sec
0.78 | Mass consumption = 8483 kg/sec | Volume consumption = 79 m3/sec
0.79 | Mass consumption = 8593 kg/sec | Volume consumption = 80 m3/sec
0.8 | Mass consumption = 8704 kg/sec | Volume consumption = 81 m3/sec
0.81 | Mass consumption = 8814 kg/sec | Volume consumption = 82 m3/sec
0.82 | Mass consumption = 8924 kg/sec | Volume consumption = 83 m3/sec
0.83 | Mass consumption = 9034 kg/sec | Volume consumption = 84 m3/sec
0.84 | Mass consumption = 9144 kg/sec | Volume consumption = 85 m3/sec
0.85 | Mass consumption = 9254 kg/sec | Volume consumption = 86 m3/sec
0.86 | Mass consumption = 9365 kg/sec | Volume consumption = 87 m3/sec
0.87 | Mass consumption = 9475 kg/sec | Volume consumption = 88 m3/sec
0.88 | Mass consumption = 9585 kg/sec | Volume consumption = 89 m3/sec
0.89 | Mass consumption = 9695 kg/sec | Volume consumption = 90 m3/sec
0.9 | Mass consumption = 9805 kg/sec | Volume consumption = 91 m3/sec
0.91 | Mass consumption = 9916 kg/sec | Volume consumption = 92 m3/sec
0.92 | Mass consumption = 10026 kg/sec | Volume consumption = 93 m3/sec
0.93 | Mass consumption = 10136 kg/sec | Volume consumption = 94 m3/sec
0.94 | Mass consumption = 10246 kg/sec | Volume consumption = 95 m3/sec
0.95 | Mass consumption = 10356 kg/sec | Volume consumption = 96 m3/sec
0.96 | Mass consumption = 10466 kg/sec | Volume consumption = 97 m3/sec
0.97 | Mass consumption = 10577 kg/sec | Volume consumption = 98 m3/sec
0.98 | Mass consumption = 10687 kg/sec | Volume consumption = 99 m3/sec
0.99 | Mass consumption = 10797 kg/sec | Volume consumption = 100 m3/sec
1 | Mass consumption = 10907 kg/sec | Volume consumption = 101 m3/sec

Cycle #2 | Gas pressure drop = 0.151988 MPa
0.01 | Mass consumption = 0 kg/sec | Volume consumption = 0 m3/sec
0.02 | Mass consumption = 110 kg/sec | Volume consumption = 1 m3/sec
0.03 | Mass consumption = 221 kg/sec | Volume consumption = 2 m3/sec
0.04 | Mass consumption = 331 kg/sec | Volume consumption = 3 m3/sec
0.05 | Mass consumption = 442 kg/sec | Volume consumption = 4 m3/sec
0.06 | Mass consumption = 553 kg/sec | Volume consumption = 5 m3/sec
0.07 | Mass consumption = 663 kg/sec | Volume consumption = 6 m3/sec
0.08 | Mass consumption = 774 kg/sec | Volume consumption = 7 m3/sec
